   298.15   7.070883e+02
   381.04   7.874812e+02
   463.94   8.411925e+02
   546.83   8.764485e+02
   629.73   8.997780e+02
   712.62   9.160215e+02
   795.52   9.283364e+02
   878.41   9.382034e+02
   961.31   9.456370e+02
  1044.20   9.510693e+02
  1127.10   9.559565e+02
  1209.99   9.601187e+02
  1292.89   9.635733e+02
  1375.78   9.663392e+02
  1458.68   9.684116e+02
  1541.57   9.698759e+02
  1624.47   9.708317e+02
  1707.36   9.714698e+02
  1790.26   9.745779e+02
  1873.15   9.982466e+02
  1874.15   9.989846e+02
  1882.29   1.005483e+03
  1890.44   1.013471e+03
  1898.58   1.023256e+03
  1906.72   1.035234e+03
  1914.86   1.049871e+03
  1923.01   1.067710e+03
  1931.15   1.089443e+03
  1939.29   1.115873e+03
  1947.44   1.147945e+03
  1955.58   1.186804e+03
  1963.72   1.233644e+03
  1971.86   1.290476e+03
  1980.01   1.357056e+03
  1988.15   1.442960e+03
  1996.29   1.522604e+03
  2004.44   1.697463e+03
  2012.58   1.892261e+03
  2020.72   2.054716e+03
  2028.86   2.260553e+03
  2037.01   2.487297e+03
  2045.15   2.742958e+03
  2053.29   3.024359e+03
  2061.44   3.328768e+03
  2069.58   3.649504e+03
  2077.72   3.976037e+03
  2085.86   4.293047e+03
  2094.01   4.580256e+03
  2102.15   4.813058e+03
  2110.29   4.964503e+03
  2118.44   5.008947e+03
  2126.58   4.927163e+03
  2134.72   4.711979e+03
  2142.86   4.372972e+03
  2151.01   3.937907e+03
  2159.15   3.449055e+03
  2167.29   2.955725e+03
  2175.44   2.499810e+03
  2183.58   2.108409e+03
  2191.72   1.813659e+03
  2199.86   1.616644e+03
  2208.01   1.502620e+03
  2216.15   1.447318e+03
  2224.29   1.425776e+03
  2232.44   1.419386e+03
  2240.58   1.418028e+03
  2248.72   1.417834e+03
  2256.86   1.417816e+03
  2265.01   1.417815e+03
  2273.15   1.417815e+03
